"Player","Team","MXG","Goals","Loops","Degree"
"M. Olivera","Getafe",13.5382014623784,1,9,67
"R. Falcao","Monaco",13.3352945173666,18,230,1231
"C. Bakambu","Villarreal",13.1271389690545,9,152,762
"Maxi Gómez","Celta de Vigo",13.1208796356341,18,260,1528
"J. Tell","Rennes",13.0978611514136,1,11,75
"Lucas Moura","PSG",12.9575106741952,1,13,82
"Gabriel Jesus","Manchester City",12.9371064557411,13,179,1137
"M. Balotelli","Nice",12.8974042621501,18,252,1514
"A. Lookman","RB Leipzig",12.5495621870782,5,88,431
"Loren Morón","Real Betis",12.4265192576524,7,123,580
"M. Philipp","Borussia Dortmund",12.3858801433287,9,107,675
"G. Bale","Real Madrid",12.2437553627669,16,232,1361
"M. Pjaca","Schalke 04",12.2184708789847,2,35,163
"L. Messi","Barcelona",12.009199834049,34,671,3225
"O. Okwonkwo","Bologna",11.726180558896,3,192,413
"O. Niasse","Everton",11.5358282868582,8,184,770
"R. Baku","Mainz 05",11.3782041270201,2,18,155
"Sergio León","Real Betis",11.3554513263341,11,177,934
"D. Mertens","Napoli",11.0443736273555,18,259,1820
"M. Barrow","Atalanta",10.9217852174322,3,57,304
"A. Finnbogason","Augsburg",10.7208828812503,12,196,1063
"R. Lukaku","Manchester United",10.6526934177655,16,355,1632
"S. Zaza","Valencia",10.5845872537034,13,201,1166
"M. Tumminello","Crotone",10.4718329600889,3,258,496
"K. Mbappé","PSG",10.4603196056,13,279,1372
"Juanmi","Real Sociedad",10.4383208668376,8,122,778
"Paco Alcácer","Barcelona",10.4371354703007,4,37,387
"L. Rémy","Las Palmas",10.3180606315809,5,288,768
"Iago Aspas","Celta de Vigo",10.0518670904974,22,524,2455
"G. Higuaín","Juventus",9.93656110451138,16,310,1615
"M. Olunga","Girona",9.89916057979406,3,59,287
"A. Griezmann","Atlético Madrid",9.89565666528506,19,197,1716
"N. Roux","Metz",9.86632641341168,15,264,1617
"P. Dybala","Juventus",9.84906501370938,22,323,2158
"W. Ben Yedder","Sevilla",9.79954668032883,9,182,972
"S. Jovetić","Monaco",9.76106033864028,8,282,833
"G. Pazzini","Hellas Verona",9.74855945270212,4,68,410
"Júlio Tavares","Dijon",9.74649075226671,12,183,1220
"E. Džeko","Roma",9.67494681150197,16,382,1812
"M. Braithwaite","Bordeaux",9.67037580559668,4,75,429
"M. Sylla","Monaco",9.59403495459696,2,33,167
"M. Batshuayi","Chelsea",9.5624830829604,2,42,223
"W. Saïd","Dijon",9.43844198473698,9,199,987
"M. Konaté","Amiens SC",9.4227061546469,13,263,1415
"P. Cutrone","Milan",9.35910312747114,10,152,1066
"Neymar","PSG",9.34567687355752,20,471,2361
"M. Uth","Hoffenheim",9.27603443488067,14,243,1307
"Willian José","Real Sociedad",9.25867065844932,15,327,1697
"M. Reus","Borussia Dortmund",9.07088605609124,7,90,664
"N. Petersen","Freiburg",8.99234391317839,15,336,1562
"E. Demirović","Deportivo Alavés",8.94058601118365,1,22,104
"A. Mendy","Bordeaux",8.92038405219637,4,92,461
"M. Gómez","Stuttgart",8.90863452490635,8,137,825
"K. Toko Ekambi","Angers",8.73085890763127,17,396,1981
"K. Lasagna","Udinese",8.71944002148894,12,403,1446
"R. Sterling","Manchester City",8.61890828287005,18,375,2145
"Rodrigo","Valencia",8.55312045487983,16,330,1747
"S. Gnabry","Hoffenheim",8.55247768415347,10,218,1051
"A. Pléa","Nice",8.53262130435087,16,348,1937
"M. Depay","Olympique Lyonnais",8.44160275206923,19,421,2243
"D. Sturridge","Liverpool",8.28610125251544,2,56,271
"Z. Machach","Toulouse",8.24491742124667,1,34,130
"Rubén Castro","Real Betis",8.15401075664931,1,14,111
"T. Werner","RB Leipzig",8.14969529955079,13,250,1435
"Ángel","Getafe",8.14078006965008,13,475,1584
"L. Mothiba","Lille",8.1233559264324,5,123,662
"C. Austin","Southampton",8.11220207662859,7,543,1269
"S. Kalou","Hertha BSC",8.0793797471697,12,243,1318
"D. Zapata","Sampdoria",8.03192515712794,11,279,1395
"A. Lacazette","Arsenal",7.92358199443515,14,459,1850
"L. Alario","Bayer Leverkusen",7.88472093505334,9,188,1042
"K. Volland","Bayer Leverkusen",7.87316524494588,14,331,1679
"N. Fekir","Olympique Lyonnais",7.74078522639502,18,499,2332
"C. Tosun","Everton",7.69914361234453,5,109,648
"Son Heung-Min","Tottenham Hotspur",7.63026389713082,12,338,1786
"C. Wood","Burnley",7.62571501828086,10,382,1355
"A. Mitrović","Newcastle United",7.53613460252575,1,18,114
"Santi Mina","Valencia",7.53081806245984,12,650,1778
"B. Keita","Monaco",7.53000776745807,8,203,876
"J. Defoe","AFC Bournemouth",7.52574206223062,4,300,705
"Á. Szalai","Hoffenheim",7.52507346868731,5,88,542
"J. Locadia","Brighton & Hove Albion",7.51644856185112,1,16,118
"G. Simeone","Fiorentina",7.48483428614713,14,325,1749
"R. Perraud","Nice",7.45622587700382,0,0,3
"N. Chadli","West Bromwich Albion",7.42137341728755,1,17,115
"Fernando Torres","Atlético Madrid",7.38473462663399,5,123,610
"D. Selke","Hertha BSC",7.33313112579242,10,220,1167
"M. Gregoritsch","Augsburg",7.32263308586641,13,185,1491
"K. Gameiro","Atlético Madrid",7.31326323723545,7,107,803
"J. Lolley","Huddersfield Town",7.28425302712469,1,29,149
"M. Kean","Hellas Verona",7.2398969952726,4,148,581
"Y. N'Gbakoto","Guingamp",7.20755740195955,3,47,361
"D. Ginczek","Stuttgart",7.07636610562827,7,142,872
"C. N'Jie","Olympique Marseille",7.02090318687306,7,276,897
"Álvaro Morata","Chelsea",6.99622100166516,11,470,1712
"N. Füllkrug","Hannover 96",6.94184587912082,14,491,1955
"Kwon Chang-Hoon","Dijon",6.92065922578468,11,227,1431
"G. Carrillo","Monaco",6.88168159879876,4,290,620
"M. Antenucci","SPAL",6.85497906497835,11,280,1459
"Roberto Firmino","Liverpool",6.82287957435028,15,402,2275
"J. Hernández","West Ham United",6.79193006594573,8,325,1168
"G. Murray","Brighton & Hove Albion",6.71203883897658,12,264,1589
"R. Inglese","Chievo",6.65889450343479,12,582,1960
"Philippe Coutinho","Liverpool",6.5258425549066,7,214,1202
"Charles","Eibar",6.4857690305513,8,370,1371
"M. Harnik","Hannover 96",6.48052034701232,9,151,1162
"Rony Lopes","Monaco",6.39745758417973,15,340,1719
"M. Gabbiadini","Southampton",6.39339910638023,5,533,1147
"N. Sansone","Villarreal",6.37666875779098,5,471,1029
"O. Giroud","Chelsea",6.35858596984826,3,75,464
"V. Germain","Olympique Marseille",6.32723297069401,9,96,978
"G. Sio","Montpellier",6.26471866273619,10,311,1468
"S. Terodde","Köln",6.17023402650045,5,131,747
"Raffael","Borussia M'gladbach",6.11130254092154,9,277,1443
"N. Kalinić","Milan",6.0627485118066,6,180,938
"Gerard Moreno","Espanyol",6.01471582049851,16,412,2528
"M. Arnautović","West Ham United",6.00298989959924,11,368,1610
"A. Kramarić","Hoffenheim",5.9880770067233,13,477,1858
"E. Ünal","Villarreal",5.97793501465787,5,190,800
"L. Pavoletti","Cagliari",5.87451828764836,11,295,1901
"C. Ünder","Roma",5.86358756922095,7,388,1300
"N. Pépé","Lille",5.83512441070798,13,421,2125
"S. Okazaki","Leicester City",5.80754306570657,6,316,1106
"A. Belotti","Torino",5.7912039552416,10,349,1700
"Roger","Levante",5.76610973648008,3,98,473
"J. Morrison","West Bromwich Albion",5.7492677721807,1,16,142
"B. Traoré","Olympique Lyonnais",5.73818900404672,13,284,1812
"A. Martial","Manchester United",5.71462106557806,9,293,1500
"Mikel Oyarzabal","Real Sociedad",5.65162721179377,12,321,1899
"G. Burgstaller","Schalke 04",5.63612276875165,11,289,1518
"F. Andone","Deportivo La Coruña",5.62545193774349,7,451,1435
"M. Stępiński","Chievo",5.62260245994764,5,320,1007
"V. Ibišević","Hertha BSC",5.61130876834557,7,141,986
"Philippe Coutinho","Barcelona",5.55664697370207,8,223,1351
"S. Khedira","Juventus",5.54430461572838,9,99,1290
"I. Santini","Caen",5.54373763676188,11,355,1904
"E. Berggreen","Mainz 05",5.52339361720419,4,326,774
"C. Wilson","AFC Bournemouth",5.52151966281713,8,433,1432
"S. Bahoken","Strasbourg",5.51082717400175,7,567,1495
"L. Holtby","Hamburger SV",5.49642141134188,6,113,946
"E. Boateng","Levante",5.48109412810811,6,534,1262
"G. Lapadula","Genoa",5.46139236132365,6,375,1230
"Adrián López","Deportivo La Coruña",5.44717230008098,9,272,1652
"Muniain","Athletic Club",5.28532562575151,4,120,704
"E. Crivelli","Caen",5.27018384476958,2,67,367
"Simy","Crotone",5.23203684567625,7,467,1444
"F. Mubele","Rennes",5.21532687201352,5,172,763
"J. Drmic","Borussia M'gladbach",5.18289393543262,4,694,1207
