"Player","Team","MXG","Goals","Loops","Degree"
"Diego Farias","Cagliari",0.202186144307916,1,388,1380
"P. Hernández","Celta de Vigo",0.198985092702515,3,214,1897
"Rômulo","Hellas Verona",0.198943522079162,3,463,2530
"T. Kraft","Hertha BSC",0.197941796119835,0,8,155
"J. Vestergaard","Borussia M'gladbach",0.192958051709638,3,201,2581
"Xeka","Dijon",0.190076731865702,2,157,1124
"S. Bastien","Chievo",0.187917721082272,1,116,841
"J. Stephens","Southampton",0.179790909236999,2,162,1414
"M. Mantovani","Leganés",0.177892773090775,1,212,855
"Danilo Avelar","Amiens SC",0.177506914627088,1,356,1624
"A. Caracciolo","Hellas Verona",0.176895000089189,2,117,1552
"Pablo Fornals","Villarreal",0.175758459071972,3,540,2570
"T. Davies","Everton",0.165709950436622,2,210,1327
"C. Smalling","Manchester United",0.165686776757184,4,133,1729
"T. Kroos","Real Madrid",0.162800568637977,5,190,2690
"Diego López","Espanyol",0.154486693126273,0,10,317
"M. Pjanić","Juventus",0.147948144029215,5,209,2781
"S. Padoin","Cagliari",0.145257810396174,1,193,1895
"P. Lees Melou","Nice",0.144504407502382,5,311,2485
"L. Bender","Bayer Leverkusen",0.143803073861477,2,126,1398
"M. Eggestein","Werder Bremen",0.1423957574209,2,286,1902
"C. Varrault","Dijon",0.134705266056926,1,51,639
"Ja-Cheol Koo","Augsburg",0.134572907673601,2,184,1436
"F. Kessié","Milan",0.132753009980206,5,419,2879
"N. Amrabat","Leganés",0.132709664709182,2,653,1864
"Recio","Málaga",0.130423680496278,1,211,1734
"S. Sané","Hannover 96",0.12493750573924,4,269,2664
"Aritz Elustondo","Real Sociedad",0.12318718695974,3,128,1447
"M. Sabitzer","RB Leipzig",0.122991986103216,3,150,1421
"S. Armenteros","Benevento",0.114272538520936,1,466,844
"J. Rodríguez","Bayern München",0.110261016041932,7,179,2027
"A. Yarmolenko","Borussia Dortmund",0.109961725608287,3,203,1011
"J. Hendrick","Burnley",0.108390030938267,2,165,1441
"B. Dabo","Saint-Étienne",0.107456622219843,2,178,1102
"N. Benezet","Guingamp",0.105982445770564,3,416,1857
"C. Sánchez","Fiorentina",0.100901569084044,1,233,632
"S. Dann","Crystal Palace",0.0975481369863473,1,73,880
"M. Bodmer","Amiens SC",0.0932749154824251,1,463,1108
"T. Meunier","PSG",0.0931060852226437,4,178,1572
"Pedro Obiang","West Ham United",0.0917170980306992,2,126,1200
"Gumbau","Leganés",0.0861415495712663,1,88,975
"T. Hemed","Brighton & Hove Albion",0.0843718206947415,2,501,1449
"N. Moisander","Werder Bremen",0.0821456789545891,2,236,2039
"B. Samba","Caen",0.0820964627388321,0,4,123
"T. Mangani","Angers",0.0819908046453293,2,234,2879
"J. Ikoné","Montpellier",0.0795950157732932,1,168,759
"R. Koch","Freiburg",0.0760280271705369,2,399,1787
"R. Gurtner","Amiens SC",0.0718622157047548,0,52,1484
"Marco Asensio","Real Madrid",0.0715562231343938,6,625,2390
"Rafael","Cagliari",0.069945671510709,0,9,295
"V. Moses","Chelsea",0.0699122804039689,3,249,1705
"E. Forsberg","RB Leipzig",0.0582994284377492,2,171,1038
"L. Narsingh","Swansea City",0.0565253443940037,1,751,1465
"L. Coulibaly","Angers",0.054493737226494,1,279,856
"F. Coquelin","Valencia",0.0461835016683381,1,79,512
"B. Zungu","Amiens SC",0.0450752051215204,1,173,1583
"Thiago Mendes","Lille",0.0443980920463218,3,390,2170
"A. Poli","Bologna",0.0339829393018363,2,212,1961
"K. Lala","Strasbourg",0.0329586164832563,3,407,2584
"G. Ramírez","Sampdoria",0.0322583951215165,3,384,2115
"S. Field","West Bromwich Albion",0.0291964574870462,1,299,820
"E. Kawashima","Metz",0.0291709797680824,0,15,1046
"Andrei Girotto","Nantes",0.0279769274659429,1,122,1130
"C. Kabasele","Watford",0.0276060701215783,2,126,1519
"A. Schwolow","Freiburg",0.0263606508269731,0,31,1521
"A. Cragno","Cagliari",0.0244283160367331,0,26,964
"F. Frei","Mainz 05",0.0126563062856349,1,42,578
"D. Faraoni","Crotone",0.0108889671957968,2,544,2020
"B. Džemaili","Bologna",0.00194686567272129,1,100,809
"D. Fletcher","Stoke City",0.00150399572498827,1,129,1634
"J. Gondorf","Werder Bremen",-0.00162006557457062,1,311,1103
"O. El Hajjam","Amiens SC",-0.00196691711903441,1,225,1735
"Canales","Real Sociedad",-0.00649126089160745,4,499,2239
"N. Viola","Benevento",-0.00988142885023535,2,220,1777
"K. Dolly","Montpellier",-0.011350331325275,1,256,941
"A. Hakimi","Real Madrid",-0.0160258722789877,2,102,755
"M. Dupé","Nantes",-0.0161538255593996,0,0,26
"Lombán","Eibar",-0.0197967014905771,1,52,636
"M. Caldara","Atalanta",-0.0199772881358058,3,137,1574
"I. M'baye","Bologna",-0.0206002532045204,1,174,1505
"Jonathan Cafu","Bordeaux",-0.0287165898762396,2,528,1381
"A. Townsend","Crystal Palace",-0.0288907103739575,2,493,2258
"F. Diagne","Metz",-0.0294395512322581,1,105,1416
"Mario Hermoso","Espanyol",-0.0379071652066614,1,84,1288
"A. Barberis","Crotone",-0.0393872324826816,2,207,1914
"E. Çolak","Deportivo La Coruña",-0.0406208998475677,1,415,1596
"N. Elvedi","Borussia M'gladbach",-0.0454728882709787,2,268,2492
"M. Halstenberg","RB Leipzig",-0.0458225064971884,2,99,1051
"Y. Bolasie","Everton",-0.0469216625315312,1,408,983
"K. Monnet-Paquet","Saint-Étienne",-0.0541789382713205,2,515,1838
"S. Sessègnon","Montpellier",-0.0574702422837845,1,96,831
"Andrés","Málaga",-0.0604762365220495,0,2,134
"F. Cacciatore","Chievo",-0.0643932534716214,2,209,2555
"Walace","Hamburger SV",-0.0693484306701748,1,145,1039
"J. Vuković","Hellas Verona",-0.0707919752635462,1,64,771
"K. De Bruyne","Manchester City",-0.0714297142592386,8,410,3910
"E. Kachunga","Huddersfield Town",-0.071839748375055,1,428,1188
"R. Brady","Burnley",-0.0720776461280366,1,126,940
"A. Knockaert","Brighton & Hove Albion",-0.0730754670411216,3,887,2622
"Sidnei","Deportivo La Coruña",-0.0738148147295306,1,145,1175
"L. Fer","Swansea City",-0.0786014885503619,1,370,1343
"A. Mawson","Swansea City",-0.0801603565287223,2,232,2433
"A. Masiello","Atalanta",-0.0814410250875426,4,172,2526
"İ. Gündoğan","Manchester City",-0.0845647404976262,4,171,1817
"F. Ricca","Málaga",-0.0865084946028674,0,66,865
"M. Yoshida","Southampton",-0.0892229434564342,2,120,1546
"Brais Méndez","Celta de Vigo",-0.089232270364846,1,88,759
"H. Maïga","Saint-Étienne",-0.0925480190908274,1,118,647
"L. Torreira","Sampdoria",-0.0929385506397011,4,240,3101
"Dani Castellano","Las Palmas",-0.0939907115832739,0,184,1626
"R. Shawcross","Stoke City",-0.0947147568459741,1,101,1288
"F. Ricci","Crotone",-0.0965185659823646,1,145,762
"O. Wendt","Borussia M'gladbach",-0.0982198868814521,1,132,1865
"Nacho Monreal","Arsenal",-0.102414467462268,5,148,2379
"K. Zouma","Stoke City",-0.103696954384077,1,192,1847
"S. De Maio","Bologna",-0.104019932415213,2,140,1617
"A. Harit","Schalke 04",-0.105963246571378,3,350,1578
"S. Aurier","Tottenham Hotspur",-0.106399703536681,2,159,1521
"Asier Riesgo","Eibar",-0.110594816653247,0,1,40
"M. Wagué","Udinese",-0.112392520425033,0,3,51
"M. Lacen","Málaga",-0.119862727100099,0,70,747
"Portillo","Getafe",-0.12286535835392,2,197,1655
"R. Rosales","Málaga",-0.125009586148281,1,220,2650
"Vitolo","Atlético Madrid",-0.125026201108199,1,103,565
"M. Britos","Watford",-0.12572621193533,1,245,890
"F. Kath","Freiburg",-0.12701277731469,1,352,1081
"G. Sunu","Angers",-0.1293062212319,1,531,1139
"Roberto","Málaga",-0.129397124725642,0,32,1156
"De Marcos","Athletic Club",-0.130149141021661,1,100,1239
"M. Gulde","Freiburg",-0.131520853359575,1,92,1103
"B. Dabo","Fiorentina",-0.132224341816709,1,60,529
"Albentosa","Deportivo La Coruña",-0.134337110324623,1,72,1079
"O. Bulut","Freiburg",-0.137053670474984,0,1,13
"Manu García","Deportivo Alavés",-0.137939176568352,3,686,2532
"C. Awaziem","Nantes",-0.138370840882317,1,330,1360
"L. Sørensen","Stoke City",-0.138413359400602,0,7,73
"M. van der Hoorn","Swansea City",-0.139337805392074,1,131,1327
"M. Samassa","Troyes",-0.141393378364455,0,16,778
"Y. Gerhardt","Wolfsburg",-0.143166149940043,1,104,968
"F. Viviani","SPAL",-0.143267838834163,3,154,2280
"J. Koundé","Bordeaux",-0.151598186051615,2,173,1252
"F. Boulaya","Metz",-0.153698756196263,0,18,133
"K. Azamoum","Troyes",-0.154147323576353,1,176,1597
"F. Sørensen","Köln",-0.158024615540398,2,720,2585
"C. Yamberé","Dijon",-0.158103855335639,3,246,1973
"D. Siovas","Leganés",-0.158807043156685,1,162,1250
"Koke","Atlético Madrid",-0.159254121919616,4,216,2837
"A. Ndiaye","Getafe",-0.159308632826196,3,594,2004
"C. Gentner","Stuttgart",-0.160090927044166,2,238,1977
"Marc Navarro","Espanyol",-0.164400324987014,1,548,1742
"G. Crociata","Crotone",-0.165028102670021,1,720,1234
"A. Valencia","Manchester United",-0.165788499071141,3,307,2656
"Granero","Espanyol",-0.166880906087385,1,534,1748
"C. Clark","Newcastle United",-0.167485159852504,2,96,1119
"L. Mousset","AFC Bournemouth",-0.169666461427141,2,940,1665
"G. Mandjeck","Metz",-0.171167000765308,0,86,688
"S. Kjær","Sevilla",-0.171465119307641,2,65,1126
"H. Moreno","Real Sociedad",-0.176041164805156,1,66,673
"J. Guðmunds­son","Burnley",-0.176115351232852,2,295,1904
"Sergi Darder","Espanyol",-0.191233968902338,1,216,2111
"Luisinho","Deportivo La Coruña",-0.192163591194685,1,275,2312
"D. Miličević","Metz",-0.194496828275419,0,44,473
"M. Arnold","Wolfsburg",-0.198385301655435,2,454,2418
"D. Payet","Olympique Marseille",-0.198673486031112,6,254,2184
"S. Araújo","Las Palmas",-0.198713989504768,0,6,35
"J. Korb","Hannover 96",-0.200905637436904,1,140,1747
"Alexis","Deportivo Alavés",-0.212301473857337,1,81,1101
"L. Lerager","Bordeaux",-0.214778146102162,3,254,2608
"C. Atsu","Newcastle United",-0.215620860656259,2,203,1102
"T. Monconduit","Amiens SC",-0.21679682448746,1,293,2276
"J. Firpo","Real Betis",-0.220870410559201,2,85,955
"M. Özil","Arsenal",-0.22202431449,4,294,2496
"L. Augustinsson","Werder Bremen",-0.222326628840506,1,169,1970
"J. Butland","Stoke City",-0.22354787121526,0,29,1460
"D. Lempereur","Metz",-0.224746099342951,0,15,105
"M. Ryan","Brighton & Hove Albion",-0.228259918069625,0,30,1376
"P. Tytoń","Deportivo La Coruña",-0.229181951401074,0,0,33
"B. Dibassy","Amiens SC",-0.236291116251095,1,244,2062
"J. Draxler","PSG",-0.237326247676492,4,186,1777
"K. Long","Burnley",-0.238372650657197,1,70,922
"J. Evans","West Bromwich Albion",-0.240437828388735,2,145,1477
"Juankar","Málaga",-0.24074313515473,0,63,606
"Yoel","Eibar",-0.242439847886089,0,4,51
"L. Grant","Stoke City",-0.243216288740086,0,2,108
"R. Álvarez","Sampdoria",-0.24344986991764,1,449,880
"P. Bargfrede","Werder Bremen",-0.256755663204785,1,161,1506
"M. D'Alessandro","Benevento",-0.259422621277508,1,344,903
"V. Wanyama","Tottenham Hotspur",-0.26210759926721,1,125,912
"A. Vidal","Bayern München",-0.26327434690802,6,134,1792
"M. Dossevi","Metz",-0.269423999410378,1,459,2031
"R. Cohade","Metz",-0.273465677183594,1,329,3078
"F. Peluso","Sassuolo",-0.273692154648074,1,150,1670
"S. Ward","Burnley",-0.273712375162518,1,113,1766
"I. Fossum","Hannover 96",-0.279049778468561,1,90,1015
"S. Serdar","Mainz 05",-0.281332247297996,2,238,1179
"I. Sylla","Toulouse",-0.281952691171455,1,195,1484
"S. Edera","Torino",-0.282428310582418,1,493,1031
"Burgui","Deportivo Alavés",-0.282526869053981,1,492,1165
"Alex Robles","Málaga",-0.284706911663534,0,12,64
"V. Rongier","Nantes",-0.288961859131177,1,277,2058
"I. Gueye","Everton",-0.297034320445732,2,284,2481
"Y. Andreu","Angers",-0.298616250502619,0,148,1627
"Arbilla","Eibar",-0.299491973232307,2,260,2147
"M. Dmitrović","Eibar",-0.300174330463165,0,40,1338
"G. Kondogbia","Valencia",-0.302072406295338,4,380,2531
"Bigas","Las Palmas",-0.311005547362811,0,82,795
"Álex Berenguer","Torino",-0.317297370062988,1,214,959
"J. Collins","West Ham United",-0.317341430394322,1,51,650
"Z. Feddal","Real Betis",-0.317379821704435,3,114,1160
"A. Saint-Maximin","Nice",-0.317586915610946,3,651,2042
"F. Passlack","Borussia Dortmund",-0.318523014525454,0,1,13
"C. Doukouré","Levante",-0.318607740192306,1,254,852
"R. Mandragora","Crotone",-0.319429406262543,2,220,2224
"B. Özcan","Stuttgart",-0.320816480649796,1,162,799
"J. Lössl","Huddersfield Town",-0.324432438182043,0,63,1587
"M. Richter","Augsburg",-0.332567953806688,1,343,997
"Jorge Meré","Köln",-0.340023116392672,1,102,1355
"L. Blas","Guingamp",-0.340749569404807,3,679,2316
"Deulofeu","Barcelona",-0.341197503606281,1,75,449
"O. Duda","Hertha BSC",-0.342245421849498,1,101,831
"Fàbregas","Chelsea",-0.342941169052665,2,171,2810
"T. Heaton","Burnley",-0.35214651227875,0,3,132
"David López","Espanyol",-0.353880386127798,1,269,2700
"E. Capoue","Watford",-0.355915189939878,1,112,1270
"Douglas Santos","Hamburger SV",-0.356140019482496,1,317,2245
"M. de Roon","Atalanta",-0.358637772103066,3,468,2728
"Diego Carlos","Nantes",-0.364928495321806,1,151,1510
"J. Livermore","West Bromwich Albion",-0.367515999941361,2,218,1763
"F. Guilbert","Caen",-0.368395816959946,1,319,2591
"Trigueros","Villarreal",-0.368638069228496,3,279,2634
"C. Tătărușanu","Nantes",-0.369993003792388,0,24,1283
"S. Missiroli","Sassuolo",-0.370330885832345,1,225,2023
"Kiko Femenía","Watford",-0.370409019293561,1,136,1366
"K. Mangane","Strasbourg",-0.370529205967955,1,115,1065
"E. Zelazny","Troyes",-0.370631541085004,0,29,775
"A. Izzo","Genoa",-0.371975341130451,1,126,1236
"F. Romagna","Cagliari",-0.372570729230119,0,115,1366
"J. Kurtič","SPAL",-0.374609737006836,1,144,1110
"M. Lestienne","Málaga",-0.37970814006917,0,57,391
"A. Cordaz","Crotone",-0.383827640140453,0,38,1395
"N. Champagne","Leganés",-0.385199729008264,0,0,69
"R. Zieler","Stuttgart",-0.385654756424401,0,39,1537
"A. Iwobi","Arsenal",-0.387041258013369,3,285,1696
"Miquel","Málaga",-0.389676811169124,0,137,1185
"Arrizabalaga","Athletic Club",-0.392915164217925,0,30,1225
"M. De Sciglio","Juventus",-0.394356388901087,1,83,1004
"J. Ibe","AFC Bournemouth",-0.397132734816751,2,282,1443
"C. Dawson","West Bromwich Albion",-0.400785709988781,2,176,1744
"R. Jarstein","Hertha BSC",-0.402674559639422,0,41,1323
"F. Fernández","Swansea City",-0.403103242765951,1,144,1801
"M. Capuano","Cagliari",-0.403271054270476,0,51,565
"Guaita","Getafe",-0.404877040795895,0,37,1152
"Gerson","Roma",-0.408572175092786,2,541,1619
"S. de Vrij","Lazio",-0.410496030807053,6,223,2149
"A. Diallo","Mainz 05",-0.411585116337505,2,286,1921
"A. Diakhaby","Monaco",-0.414009621321611,2,99,605
"Zaldúa","Leganés",-0.414105278907414,1,223,1979
"C. Ninga","Montpellier",-0.414592349536974,1,172,842
"Javi López","Espanyol",-0.417324870416223,0,98,895
"J. Lascelles","Newcastle United",-0.419333379487739,3,166,1822
"Íñigo Martínez","Real Sociedad",-0.430766914224705,1,106,1047
"C. Ansaldi","Torino",-0.434065935394074,1,304,1625
"Iago Herrerín","Athletic Club",-0.434476048064766,0,8,337
"P. Stenzel","Freiburg",-0.437585483450107,1,171,1652
"I. Sangaré","Toulouse",-0.438675905758942,1,232,1346
"Rubén","Deportivo La Coruña",-0.442039487812281,0,22,867
"V. Eysseric","Fiorentina",-0.451384785499386,1,319,981
"M. Andreolli","Cagliari",-0.454758703325865,0,96,1238
"T. Horn","Köln",-0.45545465581597,0,38,1340
"M. Veljkovic","Werder Bremen",-0.45632140668954,1,148,1989
"Y. Bissouma","Lille",-0.457479374123068,2,545,2041
"T. Cionek","SPAL",-0.458257091134897,1,173,1201
"D. Heintz","Köln",-0.46143543425444,1,202,2197
"G. Mancini","Atalanta",-0.461807460793352,1,76,733
"Danilo","Manchester City",-0.464216249711171,3,105,1555
"L. Klünter","Köln",-0.466854037579537,1,370,1257
"G. Jung","Hamburger SV",-0.467361655526815,1,238,1732
"Gil Dias","Fiorentina",-0.469061285721637,2,469,1572
"Luis Hernández","Málaga",-0.470982697869658,0,133,2050
"R. Khedira","Augsburg",-0.471585640543367,1,156,1498
"Aday","Girona",-0.472081370207547,2,299,1629
"A. Hack","Mainz 05",-0.473059263703021,1,96,1023
"F. Uduokhai","Wolfsburg",-0.477282742372154,1,116,1304
"J. Cork","Burnley",-0.481935168396717,2,226,2438
"José Naranjo","Leganés",-0.482144979617146,1,891,1555
"R. Montolivo","Milan",-0.483573867999667,1,73,956
"M. Brozović","Internazionale",-0.483737429485927,4,223,2504
"M. Albrighton","Leicester City",-0.484126444134404,2,279,1954
"S. Coleman","Everton",-0.484348706345145,0,113,785
"A. Bertolacci","Genoa",-0.485723906134922,1,271,2467
"Sergio Sánchez","Espanyol",-0.486066064535294,0,5,61
"Campaña","Levante",-0.492266903351947,1,299,2391
"L. Deaux","Guingamp",-0.493894863749006,2,175,1762
"C. Günter","Freiburg",-0.493980288281364,1,274,2432
"I. Radovanović","Chievo",-0.496462554502841,1,213,2487
"M. Koval","Deportivo La Coruña",-0.496539912194407,0,2,58
"A. Touré","Nantes",-0.499441502623881,1,300,2275
"M. Iturra","Málaga",-0.503416802948323,0,147,1045
"H. Badstuber","Stuttgart",-0.503979955497016,2,147,1681
"M. Phillips","West Bromwich Albion",-0.504338130515976,2,916,2250
"Míchel","Las Palmas",-0.508299266049335,0,368,1999
"Miguel Veloso","Genoa",-0.513438147011925,1,135,1536
"F. Pisacane","Cagliari",-0.51486737757125,0,140,1542
"D. Gosling","AFC Bournemouth",-0.519151675029889,2,189,1834
"C. Söyüncü","Freiburg",-0.520356734855795,1,180,1687
"É. Didot","Guingamp",-0.522514849615504,2,113,1558
"M. Perin","Genoa",-0.524010715649524,0,29,1449
"A. Surman","AFC Bournemouth",-0.525659405649094,2,304,1841
"Cuéllar","Leganés",-0.529536946971234,0,53,1327
"M. Gouaida","Hamburger SV",-0.530441193929164,0,4,45
"R. Martínez","Villarreal",-0.532131418228232,1,483,829
"Sergi Samper","Las Palmas",-0.532830726473321,0,15,114
"M. Coco","Guingamp",-0.534233231098256,2,431,1526
"T. Edwards","Stoke City",-0.5343247899674,0,36,309
"Allan","Napoli",-0.536285378546609,4,396,2839
"T. Cleverley","Watford",-0.545700231358978,1,121,1650
"A. Beck","Stuttgart",-0.547440902175595,1,131,1647
"Thomas","Atlético Madrid",-0.548614394870015,3,246,2161
"G. Johnson","Stoke City",-0.550000239592919,0,24,332
"G. Escalante","Eibar",-0.551120597845625,1,132,1112
"K. Rekik","Hertha BSC",-0.551397131742192,2,147,1800
"S. Defour","Burnley",-0.55478398926175,1,117,1454
"A. Blin","Toulouse",-0.558849875044984,1,131,1293
"Yuri Berchiche","PSG",-0.564346677469985,2,116,1584
"N. N'Koulou","Torino",-0.564753810081811,2,229,2426
"A. Ioniţă","Cagliari",-0.566871758387151,0,257,1723
"E. Rolón","Málaga",-0.566924347731742,0,29,233
"A. Ferrari","Hellas Verona",-0.567045343823111,1,167,1630
"K. Papadopoulos","Hamburger SV",-0.568957576057414,1,162,1854
"One","Deportivo La Coruña",-0.571402973283966,0,3,40
"É. Banega","Sevilla",-0.575440451118766,3,404,3098
"Alberto López","Málaga",-0.575664840488116,0,0,33
"P. Tschauner","Hannover 96",-0.57611816357803,0,35,1333
"Ahmed Hegazy","West Bromwich Albion",-0.576149103096441,2,200,2010
"Bueno","Málaga",-0.577316866584738,0,210,477
"Leandro Castán","Cagliari",-0.579210888207399,0,62,769
"M. Esser","Hannover 96",-0.581193781301522,0,3,141
"San José","Athletic Club",-0.58270389798497,1,157,1594
"Kévin Rodrigues","Real Sociedad",-0.58323475496536,1,378,1724
"M. Deplagne","Troyes",-0.583749537057315,0,179,1903
"G. Barry","West Bromwich Albion",-0.58516839642391,1,132,1362
"Ł. Fabiański","Swansea City",-0.585329538532278,0,37,1440
"M. Sissoko","Tottenham Hotspur",-0.586618134344917,1,170,1269
"T. Dingomé","Troyes",-0.593159452386885,0,73,823
"Z. Kuzmanović","Málaga",-0.593744313437014,0,31,418
"J. Obiang","Troyes",-0.594692672381257,0,26,370
"C. Traoré","Troyes",-0.595045799929153,0,222,2446
"M. Steinmann","Hamburger SV",-0.595046396958764,0,67,595
"M. Lazzari","SPAL",-0.595795731273597,2,517,2594
"K. Amian","Toulouse",-0.596365691986989,1,199,1938
"A. Young","Manchester United",-0.596773832193776,2,245,2336
"E. Seka","Strasbourg",-0.596879630366061,1,210,1898
"C. Kouyaté","West Ham United",-0.597872437318415,2,241,1782
"Serantes","Leganés",-0.598671893420601,0,0,44
"M. Parolo","Lazio",-0.599181162263676,4,161,1956
"N. Höfler","Freiburg",-0.600245933920178,1,199,2020
"Somália","Toulouse",-0.602947745989127,1,286,1440
"H. Arter","AFC Bournemouth",-0.6040531346855,1,71,792
"J. Porsan-Clemente","Montpellier",-0.607650066436008,0,8,68
"Javi Ontiveros","Málaga",-0.607825135513167,0,73,343
"M. Barbosa","Villarreal",-0.608022103202529,0,3,392
"B. Martella","Crotone",-0.612221887996384,1,196,1971
"Rubén Peña","Eibar",-0.612889772354947,1,189,1565
"R. Knoche","Wolfsburg",-0.613223638179875,1,139,1854
"T. Kongolo","Huddersfield Town",-0.616054847551936,0,53,660
"P. Diop","Espanyol",-0.617962088750005,0,18,154
"D. Rose","Tottenham Hotspur",-0.621613791009395,0,99,785
"N. Rigoni","Chievo",-0.62819122734345,0,62,637
"Sergio Postigo","Levante",-0.628611876571654,1,122,1414
"C. Jullien","Toulouse",-0.629877443251758,1,131,1756
"A. Williams","Everton",-0.630434116718448,1,104,1225
"M. Hitz","Augsburg",-0.631450699353422,0,36,1293
"F. Di Francesco","Bologna",-0.631682983509791,1,398,1288
"Joaquín","Real Betis",-0.632351352129717,4,327,2011
"Erik Morán","Leganés",-0.632510149230143,0,15,262
"Jon Bautista","Real Sociedad",-0.634232520799515,1,457,799
"L. Goudiaby","Metz",-0.637093926451485,0,169,305
"Víctor Sánchez","Espanyol",-0.641793530739164,0,187,2146
"M. Niakhaté","Metz",-0.645016541123709,0,244,2120
"M. Gobbi","Chievo",-0.647895935009956,0,174,1766
"A. Dioussé","Saint-Étienne",-0.649055922373691,1,113,1206
"K. Stafylidis","Stoke City",-0.65227147499229,0,19,218
"V. Bessat","Caen",-0.654943221309168,0,141,1326
"S. Sorrentino","Chievo",-0.655479568482747,0,23,1421
"M. Ritchie","Newcastle United",-0.657120704818681,3,268,2112
"W. Orban","RB Leipzig",-0.65732594973656,3,109,1856
"F. Borini","Milan",-0.657721617826837,2,358,1746
"Felipe","SPAL",-0.659670569253649,1,189,1860
"A. Aquilani","Las Palmas",-0.661629544290918,0,83,1508
"Àngel Rangel","Swansea City",-0.665115348078984,0,17,156
"Gabriel Silva","Saint-Étienne",-0.665656437412849,1,168,1679
"E. Pieters","Stoke City",-0.66763590672997,0,229,2075
"Jason","Levante",-0.667745117064214,1,212,1138
"V. Manceau","Angers",-0.668009389899908,0,169,2364
"M. Badelj","Fiorentina",-0.668546666794327,2,238,2483
"P. Schiattarella","SPAL",-0.668657936285058,1,440,2018
"Y. Armougom","Caen",-0.671649038310761,0,19,236
"T. Bakayoko","Chelsea",-0.671963168209459,2,248,1805
"Iván Rodríguez","Málaga",-0.673041120195876,0,2,17
"J. Rivierez","Metz",-0.67508058488329,0,312,1731
"Tomás Pina","Deportivo Alavés",-0.675123249300327,1,425,1918
"Martín","Deportivo Alavés",-0.676913044741923,0,150,1301
"A. Marušić","Lazio",-0.677369091228002,3,254,1813
"C. Lykogiannis","Cagliari",-0.678960034528586,0,51,486
"M. Aguirregaray","Las Palmas",-0.680032368759385,0,131,1017
"A. Nübel","Schalke 04",-0.681698930837911,0,2,29
"E. Martínez","Getafe",-0.686075730316361,0,7,186
"S. Miangue","Cagliari",-0.688507034816439,0,224,855
"Iván Balliu","Metz",-0.689085113175906,0,153,1637
"Wendell","Bayer Leverkusen",-0.689954261549815,1,234,1976
"M. Bauer","Stoke City",-0.69397843650188,0,94,792
"I. Cissokho","Amiens SC",-0.694214731935517,0,115,1196
"E. Viviano","Sampdoria",-0.699187929511254,0,38,1017
"H. Mkhitaryan","Manchester United",-0.700101238965772,1,134,906
"S. Meïté","Bordeaux",-0.702769943256044,1,198,1174
"G. Imbula","Toulouse",-0.704763573703076,1,329,1900
"A. Peñaranda","Málaga",-0.705386196487098,0,163,649
"S. Moutoussamy","Nantes",-0.706637964394758,0,39,264
"T. Rincón","Torino",-0.708051854200221,1,340,2425
"Raúl Lizoáin","Las Palmas",-0.708704003056027,0,8,440
"C. Roberts","Swansea City",-0.711148249847952,0,14,236
"M. Lemos","Las Palmas",-0.7133297916223,0,72,1067
"Fernando Navarro","Deportivo La Coruña",-0.714225869432198,0,312,1135
"C. Jean","Toulouse",-0.714604330062116,1,475,1533
"Y. Jouffre","Metz",-0.716170598998929,0,20,251
"R. Gosens","Atalanta",-0.71681474652928,1,112,1237
"G. Bong","Brighton & Hove Albion",-0.717274631359828,0,162,1555
"A. Romagnoli","Milan",-0.717456866894963,2,151,1970
"M. Gazzola","Sassuolo",-0.719327090166871,0,42,580
"J. Pickford","Everton",-0.720325955155772,0,40,1536
"L. Chichizola","Las Palmas",-0.726898453544663,0,45,1351
"G. Cameron","Stoke City",-0.727340342449338,0,112,956
"Jony","Málaga",-0.727981971544978,0,42,185
"Aarón","Espanyol",-0.728663080214005,0,237,2045
"Javi Fuego","Espanyol",-0.728813969576663,0,78,922
"M. Olsson","Swansea City",-0.729023820178213,0,269,2220
"I. Abate","Milan",-0.72918081528428,1,77,1033
"M. Rog","Napoli",-0.729956196258399,1,77,652
"S. Ireland","Stoke City",-0.730391088918395,0,7,96
"T. Didillon","Metz",-0.730966915139447,0,7,316
"K. Naughton","Swansea City",-0.732313107673008,0,275,2950
"Y. Ravet","Freiburg",-0.7325404307893,0,238,645
"O. Karnezis","Watford",-0.732992641132341,0,15,473
"J. Ielsch","Amiens SC",-0.733442165098154,0,55,413
"J. Sambia","Montpellier",-0.735386265519992,1,362,1599
"D. Dessena","Cagliari",-0.737985788879541,0,291,790
"Borja Herrera","Las Palmas",-0.740067277838762,0,24,227
"C. Pantilimon","Deportivo La Coruña",-0.740844430951597,0,5,191
"Rodrigo Ely","Deportivo Alavés",-0.74177494804826,1,114,1566
"B. Koné","Strasbourg",-0.742518042630422,1,91,1457
"V. Behrami","Udinese",-0.743061451926906,1,154,990
"Aythami Artiles","Las Palmas",-0.746058574565723,0,202,440
"D. Congré","Montpellier",-0.746594122291867,1,130,1813
"L. Cabrera","Getafe",-0.75045838944186,0,41,446
"G. van der Wiel","Cagliari",-0.750641215984842,0,26,227
"A. Mbengue","Caen",-0.751038362425902,0,485,1783
"M. Lemina","Southampton",-0.751953358118271,1,287,1586
"B. Assou-Ekotto","Metz",-0.752274587758848,0,61,820
"Jurado","Espanyol",-0.75366560132727,0,166,993
"D. De Rossi","Roma",-0.754083325937927,1,107,1641
"D. Cataldi","Benevento",-0.754908688900741,1,211,1861
